Loading sequences.
Calculating pairwise edit distance.
504 / 703 > 8858 | harborSeal | randgen0
505 / 703 > 8929 | harborSeal | randgen1
506 / 703 > 8890 | harborSeal | randgen2
507 / 703 > 8876 | harborSeal | randgen3
508 / 703 > 5212 | harborSeal | rat
509 / 703 > 4782 | harborSeal | sheep
510 / 703 > 5162 | harborSeal | squirrel
511 / 703 > 5936 | harborSeal | wallaroo
512 / 703 > 4773 | harborSeal | whiteRhinoceros
513 / 703 > 3534 | hippopotamus | horse
514 / 703 > 4909 | hippopotamus | human
515 / 703 > 3595 | hippopotamus | indianRhinoceros
516 / 703 > 4325 | hippopotamus | mouse
517 / 703 > 5318 | hippopotamus | opossum
518 / 703 > 4384 | hippopotamus | orangutan
519 / 703 > 3559 | hippopotamus | pig
520 / 703 > 4366 | hippopotamus | pigmyChimpanzee
521 / 703 > 5271 | hippopotamus | platypus
522 / 703 > 4685 | hippopotamus | rabbit
523 / 703 > 8819 | hippopotamus | randgen0
524 / 703 > 8808 | hippopotamus | randgen1
525 / 703 > 8855 | hippopotamus | randgen2
526 / 703 > 8818 | hippopotamus | randgen3
527 / 703 > 4336 | hippopotamus | rat
528 / 703 > 3510 | hippopotamus | sheep
529 / 703 > 4219 | hippopotamus | squirrel
530 / 703 > 4880 | hippopotamus | wallaroo
531 / 703 > 3597 | hippopotamus | whiteRhinoceros
532 / 703 > 5040 | horse | human
533 / 703 > 2851 | horse | indianRhinoceros
534 / 703 > 4388 | horse | mouse
535 / 703 > 5099 | horse | opossum
536 / 703 > 4467 | horse | orangutan
537 / 703 > 3394 | horse | pig
538 / 703 > 4330 | horse | pigmyChimpanzee
539 / 703 > 5153 | horse | platypus
540 / 703 > 4354 | horse | rabbit
541 / 703 > 8868 | horse | randgen0
542 / 703 > 8880 | horse | randgen1
543 / 703 > 8939 | horse | randgen2
544 / 703 > 8878 | horse | randgen3
545 / 703 > 4325 | horse | rat
546 / 703 > 3674 | horse | sheep
547 / 703 > 4231 | horse | squirrel
548 / 703 > 4859 | horse | wallaroo
549 / 703 > 2873 | horse | whiteRhinoceros
550 / 703 > 5157 | human | indianRhinoceros
551 / 703 > 5208 | human | mouse
552 / 703 > 6342 | human | opossum
553 / 703 > 3282 | human | orangutan
554 / 703 > 5165 | human | pig
555 / 703 > 2510 | human | pigmyChimpanzee
556 / 703 > 6268 | human | platypus
557 / 703 > 5694 | human | rabbit
558 / 703 > 8878 | human | randgen0
559 / 703 > 8930 | human | randgen1
560 / 703 > 8919 | human | randgen2
561 / 703 > 8901 | human | randgen3
562 / 703 > 5189 | human | rat
563 / 703 > 5152 | human | sheep
564 / 703 > 5211 | human | squirrel
565 / 703 > 5909 | human | wallaroo
566 / 703 > 5113 | human | whiteRhinoceros
567 / 703 > 4447 | indianRhinoceros | mouse
568 / 703 > 4946 | indianRhinoceros | opossum
569 / 703 > 4535 | indianRhinoceros | orangutan
570 / 703 > 3410 | indianRhinoceros | pig
571 / 703 > 4424 | indianRhinoceros | pigmyChimpanzee
572 / 703 > 5071 | indianRhinoceros | platypus
573 / 703 > 4284 | indianRhinoceros | rabbit
574 / 703 > 8909 | indianRhinoceros | randgen0
575 / 703 > 8931 | indianRhinoceros | randgen1
576 / 703 > 8968 | indianRhinoceros | randgen2
577 / 703 > 8936 | indianRhinoceros | randgen3
578 / 703 > 4453 | indianRhinoceros | rat
579 / 703 > 3689 | indianRhinoceros | sheep
580 / 703 > 4203 | indianRhinoceros | squirrel
581 / 703 > 4751 | indianRhinoceros | wallaroo
582 / 703 > 2010 | indianRhinoceros | whiteRhinoceros
583 / 703 > 5106 | mouse | opossum
584 / 703 > 4723 | mouse | orangutan
585 / 703 > 4351 | mouse | pig
586 / 703 > 4703 | mouse | pigmyChimpanzee
587 / 703 > 5261 | mouse | platypus
588 / 703 > 4853 | mouse | rabbit
589 / 703 > 8825 | mouse | randgen0
590 / 703 > 8850 | mouse | randgen1
591 / 703 > 8890 | mouse | randgen2
592 / 703 > 8884 | mouse | randgen3
593 / 703 > 2905 | mouse | rat
594 / 703 > 4390 | mouse | sheep
595 / 703 > 4227 | mouse | squirrel
596 / 703 > 4884 | mouse | wallaroo
597 / 703 > 4458 | mouse | whiteRhinoceros
598 / 703 > 5732 | opossum | orangutan
599 / 703 > 5018 | opossum | pig
600 / 703 > 5505 | opossum | pigmyChimpanzee
601 / 703 > 5072 | opossum | platypus
602 / 703 > 5118 | opossum | rabbit
603 / 703 > 9064 | opossum | randgen0
604 / 703 > 9087 | opossum | randgen1
605 / 703 > 9124 | opossum | randgen2
606 / 703 > 9130 | opossum | randgen3
607 / 703 > 5211 | opossum | rat
